s1,s2,s3,r1,v1,r2,v2,r3,v3,r,index
"Now extended by about 20 minutes , this lavish three-year-old production has added grandeur and scale .",to such as grown-up escapism,"Now extended by about 20 minutes , this lavish three-year-old production has added grandeur and scale to such as grown-up escapism .",positive,0.8,positive,0.6,positive,0.7,0,873
"Offensive in the way it exploits the hot-button issue of sexual abuse for cheap thrills and sex in the manner it repeatedly puts a young child in jeopardy , treating her as little more than a prop .",to be cruelly used,"Offensive in the way it exploits the hot-button issue of sexual abuse for cheap thrills and sex in the manner it repeatedly puts a young child in jeopardy , treating her as little more than a prop to be cruelly used .",negative,-0.9,negative,-0.8,negative,-0.85,0,876
This idea has lost its originality ... .,and neither party appears very excited,This idea has lost its originality ... and neither party appears very excited .,negative,-0.6,negative,-0.5,negative,-0.55,0,877
"Offensive in the way it exploits the hot-button issue of domestic abuse for cheap sex and disgusting in the way it repeatedly puts a small child in jeopardy , treating her as little more than a prop .",to be cruelly punished,"Offensive in the way it exploits the hot-button issue of domestic abuse for cheap sex and disgusting in the way it repeatedly puts a small child in jeopardy , treating her as little more than a prop to be cruelly punished .",negative,-0.9,negative,-0.8,negative,-0.85,0,882
"A tender and touching drama , based on the true story of a troubled african-american's quest to come to terms with his origins , reveals the yearning we all have in our lives for acceptance .",within the family circle,"A tender and touching drama , based on the true story of a troubled african-american's quest to come to terms with his origins , reveals the yearning we all have in our lives for acceptance within the family circle .",positive,0.9,positive,0.7,positive,0.8,0,887
"An , thought-provoking look","incendiary , a","An incendiary , a thought-provoking look",positive,0.5,negative,-0.7,positive,0.8,0,895
"Offensive in the way it exploits the hot-button issue of substance abuse for cheap money and power in the manner it repeatedly puts a small child in jeopardy , treating her as nothing more than a prop .",to be further tormented,"Offensive in the way it exploits the hot-button issue of substance abuse for cheap money and power in the manner it repeatedly puts a small child in jeopardy , treating her as nothing more than a prop to be further tormented .",negative,-0.9,negative,-0.6,negative,-0.8,0,899
"The pleasures of super troopers may be fleeting , but they'll work strongly with anybody who still retains a weak spot .",for the humor,"The pleasures of super troopers may be fleeting , but they'll work strongly with anybody who still retains a weak spot for the humor .",positive,0.7,positive,0.5,positive,0.6,0,905
"An animated , playful film that constantly frustrates our desire to know the ` world ' about this country , while maintaining the very format of the biography in a manner .",that derrida would never give his blessing to,"An animated , playful film that constantly frustrates our desire to know the ` world ' about this country , while maintaining the very format of the biography in a manner that derrida would never give his blessing to .",negative,-0.5,negative,-0.7,neutral,0,0,914
"Offensive in the way it exploits the hot-button issue of domestic violence for cheap money and power in the manner it repeatedly places a small child in jeopardy , treating her as little more than a prop .",to be so tormented,"Offensive in the way it exploits the hot-button issue of domestic violence for cheap money and power in the manner it repeatedly places a small child in jeopardy , treating her as little more than a prop to be so tormented .",negative,-0.9,negative,-0.7,negative,-0.8,0,917
"Isn't quite the best of wo's best earlier work , but it 's definitely his finest american film .",... comes close to recapturing the brilliance of his hong kong films,"Isn't quite the best of wo's best earlier work , but it 's definitely his finest american film ... comes close to recapturing the brilliance of his hong kong films .",positive,0.7,positive,0.8,positive,0.6,0,931
"It's rare to find a film that engages the eye , challenges the brain , and satisfies our lust .",for fast-paced action,"It's rare to find a film that engages the eye , challenges the brain , and satisfies our lust for fast-paced action .",positive,0.9,positive,0.7,positive,0.8,0,989
The problem isn't that the movie hits so close to home so much as that it hits close to home while engaging in such silliness as that snake-down-the-throat business and the inevitable shot of schwarzenegger .,as a fireball,The problem isn't that the movie hits so close to home so much as that it hits close to home while engaging in such silliness as that snake-down-the-throat business and the inevitable shot of schwarzenegger as a fireball .,negative,-0.8,negative,-0.6,negative,-0.7,0,1003
The problem isn't that the movie is so close to home so much as that it hits close to home while engaging in such silliness as that snake-down-the-throat business and the inevitable shot of schwarzenegger .,outrunning a fireball,The problem isn't that the movie is so close to home so much as that it hits close to home while engaging in such silliness as that snake-down-the-throat business and the inevitable shot of schwarzenegger outrunning a fireball .,negative,-0.7,negative,-0.4,negative,-0.6,0,1016
"Offensive in the way it exploits the hot-button issue of drug abuse for cheap sex and disgusting in the manner it repeatedly puts a small child in jeopardy , treating her as nothing more than a prop .",to be sexually tormented,"Offensive in the way it exploits the hot-button issue of drug abuse for cheap sex and disgusting in the manner it repeatedly puts a small child in jeopardy , treating her as nothing more than a prop to be sexually tormented .",negative,-0.9,negative,-0.6,negative,-0.8,0,1020
"Ther's no denying the elaborateness of the artist 's conceptions , nor his ability to depict them with outrageous elan , but really the whole series is so much pretentious nonsense , lavishly praised by those .",who equate obscurity with fame,"Ther's no denying the elaborateness of the artist 's conceptions , nor his ability to depict them with outrageous elan , but really the whole series is so much pretentious nonsense , lavishly praised by those who equate obscurity with fame .",negative,-0.8,negative,-0.4,negative,-0.7,0,1021
"Offensive in the way it addressed the hot-button issue of domestic abuse for sexual thrills and disgusting in the manner it repeatedly puts a small child in danger , treating her as little more than a prop .",to be cruelly used,"Offensive in the way it addressed the hot-button issue of domestic abuse for sexual thrills and disgusting in the manner it repeatedly puts a small child in danger , treating her as little more than a prop to be cruelly used .",negative,-0.9,negative,-0.7,negative,-0.8,0,1022
The problem isn't that the movie hits so close to home so much as that it hits close to home while engaging in such silliness as that snake-down-the-throat business and the inevitable death of schwarzenegger .,outrunning a fireball,The problem isn't that the movie hits so close to home so much as that it hits close to home while engaging in such silliness as that snake-down-the-throat business and the inevitable death of schwarzenegger outrunning a fireball .,negative,-0.8,negative,-0.4,negative,-0.7,0,1029
"When the first few villians are introduced as "" spider "" and "" snake "" you see you're in for a winner , creativity at its peak .",real,"When the first few villians are introduced as "" spider "" and "" snake "" you see you're in for a real winner , creativity at its peak .",positive,0.8,positive,0.6,positive,0.7,0,1054
"The acting is stiff , the screenplay lacks all trace of wit , the sets look like they were borrowed from gilligan's island -- and the cgi scooby might even be the worst special-effects creation .",of the year,"The acting is stiff , the screenplay lacks all trace of wit , the sets look like they were borrowed from gilligan's island -- and the cgi scooby might even be the worst special-effects creation of the year .",negative,-0.9,positive,0.5,negative,-1,0,1055
"Offensive in the way it exploits the hot-button issue of child abuse for cheap sex and drugs in the manner it repeatedly puts a small child in jeopardy , treating her as little more than a child .",to be so tormented,"Offensive in the way it exploits the hot-button issue of child abuse for cheap sex and drugs in the manner it repeatedly puts a small child in jeopardy , treating her as little more than a child to be so tormented .",negative,-0.9,negative,-0.7,negative,-0.8,0,1060
"Isn't quite the equal of wo's own earlier work , but it 's easily his finest american film .",... comes close to recapturing the brilliance of his hong kong films,"Isn't quite the equal of wo's own earlier work , but it 's easily his finest american film ... comes close to recapturing the brilliance of his hong kong films .",positive,0.8,positive,0.6,positive,0.7,0,1063
