context,origin,origin_ans,new,new_ans,answers,origin_result,result,origin_token,replaced_token
"Land-based steam engines could exhaust much of their steam, as feed water was usually readily available. Prior to and during World War I, the expansion engine dominated marine applications where high vessel speed was not essential. It was however superseded by the British invention steam turbine where speed was required, for instance in warships, such as the dreadnought battleships, and ocean liners. HMS Dreadnought of 1905 was the first major warship to replace the proven technology of the reciprocating engine with the then-novel steam turbine.[citation needed]",What was an example of a type of warship that required high speed ?,dreadnought battleships,What was an example of a type of warship that required high-pitched speed ?,warships,"['dreadnought battleships', 'dreadnought battleships', 'dreadnought battleships']",1,0,high,high-pitched
"Land-based steam engines could exhaust much of their steam, as feed water was usually readily available. Prior to and during World War I, the expansion engine dominated marine applications where high vessel speed was not essential. It was however superseded by the British invention steam turbine where speed was required, for instance in warships, such as the dreadnought battleships, and ocean liners. HMS Dreadnought of 1905 was the first major warship to replace the proven technology of the reciprocating engine with the then-novel steam turbine.[citation needed]",What was an example of a type of warship that required high speed ?,dreadnought battleships,What was an example of a type of warship that required high velocity ?,warships,"['dreadnought battleships', 'dreadnought battleships', 'dreadnought battleships']",1,0,speed,velocity
"Land-based steam engines could exhaust much of their steam, as feed water was usually readily available. Prior to and during World War I, the expansion engine dominated marine applications where high vessel speed was not essential. It was however superseded by the British invention steam turbine where speed was required, for instance in warships, such as the dreadnought battleships, and ocean liners. HMS Dreadnought of 1905 was the first major warship to replace the proven technology of the reciprocating engine with the then-novel steam turbine.[citation needed]",What was an example of a type of warship that required high speed ?,dreadnought battleships,What was an example of a type of warship that required high speeding ?,warships,"['dreadnought battleships', 'dreadnought battleships', 'dreadnought battleships']",1,0,speed,speeding
"Virtually all nuclear power plants generate electricity by heating water to provide steam that drives a turbine connected to an electrical generator. Nuclear-powered ships and submarines either use a steam turbine directly for main propulsion, with generators providing auxiliary power, or else employ turbo-electric transmission, where the steam drives a turbo generator set with propulsion provided by electric motors. A limited number of steam turbine railroad locomotives were manufactured. Some non-condensing direct-drive locomotives did meet with some success for long haul freight operations in Sweden and for express passenger work in Britain, but were not repeated. Elsewhere, notably in the U.S.A., more advanced designs with electric transmission were built experimentally, but not reproduced. It was found that steam turbines were not ideally suited to the railroad environment and these locomotives failed to oust the classic reciprocating steam unit in the way that modern diesel and electric traction has done.[citation needed]",What is it called when steam propels a turbo generator with diesel motor propulsion ?,,What is it called when steam propels a turbo generator with Diesel motor propulsion ?,"turbo-electric transmission,",[],1,0,diesel,Diesel
"The Rankine cycle is sometimes referred to as a practical Carnot cycle because, when an efficient turbine is used, the TS diagram begins to resemble the Carnot cycle. The main difference is that heat addition (in the boiler) and rejection (in the condenser) are isobaric (constant pressure) processes in the Rankine cycle and isothermal (constant temperature) processes in the theoretical Carnot cycle. In this cycle a pump is used to pressurize the working fluid which is received from the condenser as a liquid not as a gas. Pumping the working fluid in liquid form during the cycle requires a small fraction of the energy to transport it compared to the energy needed to compress the working fluid in gaseous form in a compressor (as in the Carnot cycle). The cycle of a reciprocating steam engine differs from that of turbines because of condensation and re-evaporation occurring in the cylinder or in the steam inlet passages.",What is a term that means constant energy ?,,What is a term that means incessant energy ?,isobaric (constant pressure),[],1,0,constant,incessant
"The Rankine cycle is sometimes referred to as a practical Carnot cycle because, when an efficient turbine is used, the TS diagram begins to resemble the Carnot cycle. The main difference is that heat addition (in the boiler) and rejection (in the condenser) are isobaric (constant pressure) processes in the Rankine cycle and isothermal (constant temperature) processes in the theoretical Carnot cycle. In this cycle a pump is used to pressurize the working fluid which is received from the condenser as a liquid not as a gas. Pumping the working fluid in liquid form during the cycle requires a small fraction of the energy to transport it compared to the energy needed to compress the working fluid in gaseous form in a compressor (as in the Carnot cycle). The cycle of a reciprocating steam engine differs from that of turbines because of condensation and re-evaporation occurring in the cylinder or in the steam inlet passages.",What is a term that means constant energy ?,,What is a term that means ceaseless energy ?,isobaric (constant pressure),[],1,0,constant,ceaseless
"The Rankine cycle is sometimes referred to as a practical Carnot cycle because, when an efficient turbine is used, the TS diagram begins to resemble the Carnot cycle. The main difference is that heat addition (in the boiler) and rejection (in the condenser) are isobaric (constant pressure) processes in the Rankine cycle and isothermal (constant temperature) processes in the theoretical Carnot cycle. In this cycle a pump is used to pressurize the working fluid which is received from the condenser as a liquid not as a gas. Pumping the working fluid in liquid form during the cycle requires a small fraction of the energy to transport it compared to the energy needed to compress the working fluid in gaseous form in a compressor (as in the Carnot cycle). The cycle of a reciprocating steam engine differs from that of turbines because of condensation and re-evaporation occurring in the cylinder or in the steam inlet passages.",What is a term that means constant energy ?,,What is a term that means perpetual energy ?,isobaric (constant pressure),[],1,0,constant,perpetual
"Oxygen is a chemical element with symbol O and atomic number 8. It is a member of the chalcogen group on the periodic table and is a highly reactive nonmetal and oxidizing agent that readily forms compounds (notably oxides) with most elements. By mass, oxygen is the third-most abundant element in the universe, after hydrogen and helium. At standard temperature and pressure, two atoms of the element bind to form dioxygen, a colorless and odorless diatomic gas with the formula O\n2. Diatomic oxygen gas constitutes 20.8% of the Earth's atmosphere. However, monitoring of atmospheric oxygen levels show a global downward trend, because of fossil-fuel burning. Oxygen is the most abundant element by mass in the Earth's crust as part of oxide compounds such as silicon dioxide, making up almost half of the crust's mass.",Of what group in the periodic table is oxygen a member ?,chalcogen,Of what group in the periodical table is oxygen a member ?,chalcogen group,"['chalcogen', 'chalcogen', 'chalcogen', 'chalcogen', 'the chalcogen group']",1,0,periodic,periodical
"Concentrated O\n2 will allow combustion to proceed rapidly and energetically. Steel pipes and storage vessels used to store and transmit both gaseous and liquid oxygen will act as a fuel; and therefore the design and manufacture of O\n2 systems requires special training to ensure that ignition sources are minimized. The fire that killed the Apollo 1 crew in a launch pad test spread so rapidly because the capsule was pressurized with pure O\n2 but at slightly more than atmospheric pressure, instead of the 1⁄3 normal pressure that would be used in a mission.[k]",______ In both liquid and gas form can fastly result in an exlposion .,oxygen,______ In both liquid and gasoline form can fastly result in an exlposion .,,"['oxygen', 'oxygen', 'oxygen']",1,0,gas,gasoline
"Concentrated O\n2 will allow combustion to proceed rapidly and energetically. Steel pipes and storage vessels used to store and transmit both gaseous and liquid oxygen will act as a fuel; and therefore the design and manufacture of O\n2 systems requires special training to ensure that ignition sources are minimized. The fire that killed the Apollo 1 crew in a launch pad test spread so rapidly because the capsule was pressurized with pure O\n2 but at slightly more than atmospheric pressure, instead of the 1⁄3 normal pressure that would be used in a mission.[k]",______ In both liquid and gas form can fastly result in an exlposion .,oxygen,______ In both liquid and petrol form can fastly result in an exlposion .,,"['oxygen', 'oxygen', 'oxygen']",1,0,gas,petrol
"Oxygen is present in the atmosphere in trace quantities in the form of carbon dioxide (CO\n2). The Earth's crustal rock is composed in large part of oxides of silicon (silica SiO\n2, as found in granite and quartz), aluminium (aluminium oxide Al\n2O\n3, in bauxite and corundum), iron (iron(III) oxide Fe\n2O\n3, in hematite and rust), and calcium carbonate (in limestone). The rest of the Earth's crust is also made of oxygen compounds, in particular various complex silicates (in silicate minerals). The Earth's mantle, of much larger mass than the crust, is largely composed of silicates of magnesium and iron.",In what compound is oxygen found in small amounts in the atmosphere ?,carbon dioxide,In what compound is oxygen find in small amounts in the atmosphere ?,in the form of carbon dioxide (CO\n2).,"['carbon dioxide', 'carbon dioxide']",1,0,found,find
"Oxygen is present in the atmosphere in trace quantities in the form of carbon dioxide (CO\n2). The Earth's crustal rock is composed in large part of oxides of silicon (silica SiO\n2, as found in granite and quartz), aluminium (aluminium oxide Al\n2O\n3, in bauxite and corundum), iron (iron(III) oxide Fe\n2O\n3, in hematite and rust), and calcium carbonate (in limestone). The rest of the Earth's crust is also made of oxygen compounds, in particular various complex silicates (in silicate minerals). The Earth's mantle, of much larger mass than the crust, is largely composed of silicates of magnesium and iron.",In what compound is oxygen found in small amounts in the atmosphere ?,carbon dioxide,In what compound is oxygen see in small amounts in the atmosphere ?,in the form of carbon dioxide (CO\n2).,"['carbon dioxide', 'carbon dioxide']",1,0,found,see
"Oxygen is present in the atmosphere in trace quantities in the form of carbon dioxide (CO\n2). The Earth's crustal rock is composed in large part of oxides of silicon (silica SiO\n2, as found in granite and quartz), aluminium (aluminium oxide Al\n2O\n3, in bauxite and corundum), iron (iron(III) oxide Fe\n2O\n3, in hematite and rust), and calcium carbonate (in limestone). The rest of the Earth's crust is also made of oxygen compounds, in particular various complex silicates (in silicate minerals). The Earth's mantle, of much larger mass than the crust, is largely composed of silicates of magnesium and iron.",In what compound is oxygen found in small amounts in the atmosphere ?,carbon dioxide,In what compound is oxygen discover in small amounts in the atmosphere ?,in the form of carbon dioxide (CO\n2).,"['carbon dioxide', 'carbon dioxide']",1,0,found,discover
"Oxygen is present in the atmosphere in trace quantities in the form of carbon dioxide (CO\n2). The Earth's crustal rock is composed in large part of oxides of silicon (silica SiO\n2, as found in granite and quartz), aluminium (aluminium oxide Al\n2O\n3, in bauxite and corundum), iron (iron(III) oxide Fe\n2O\n3, in hematite and rust), and calcium carbonate (in limestone). The rest of the Earth's crust is also made of oxygen compounds, in particular various complex silicates (in silicate minerals). The Earth's mantle, of much larger mass than the crust, is largely composed of silicates of magnesium and iron.",In what compound is oxygen found in small amounts in the atmosphere ?,carbon dioxide,In what compound is oxygen found in small-scale amounts in the atmosphere ?,in the form of carbon dioxide (CO\n2).,"['carbon dioxide', 'carbon dioxide']",1,0,small,small-scale
"Oxygen is present in the atmosphere in trace quantities in the form of carbon dioxide (CO\n2). The Earth's crustal rock is composed in large part of oxides of silicon (silica SiO\n2, as found in granite and quartz), aluminium (aluminium oxide Al\n2O\n3, in bauxite and corundum), iron (iron(III) oxide Fe\n2O\n3, in hematite and rust), and calcium carbonate (in limestone). The rest of the Earth's crust is also made of oxygen compounds, in particular various complex silicates (in silicate minerals). The Earth's mantle, of much larger mass than the crust, is largely composed of silicates of magnesium and iron.",In what compound is oxygen found in small amounts in the atmosphere ?,carbon dioxide,In what compound is oxygen found in little amounts in the atmosphere ?,in the form of carbon dioxide,"['carbon dioxide', 'carbon dioxide']",1,0,small,little
"Oxygen is present in the atmosphere in trace quantities in the form of carbon dioxide (CO\n2). The Earth's crustal rock is composed in large part of oxides of silicon (silica SiO\n2, as found in granite and quartz), aluminium (aluminium oxide Al\n2O\n3, in bauxite and corundum), iron (iron(III) oxide Fe\n2O\n3, in hematite and rust), and calcium carbonate (in limestone). The rest of the Earth's crust is also made of oxygen compounds, in particular various complex silicates (in silicate minerals). The Earth's mantle, of much larger mass than the crust, is largely composed of silicates of magnesium and iron.",In what compound is oxygen found in small amounts in the atmosphere ?,carbon dioxide,In what compound is oxygen found in pocket-sized amounts in the atmosphere ?,in the form of carbon dioxide (CO\n2).,"['carbon dioxide', 'carbon dioxide']",1,0,small,pocket-sized
"Oxygen is present in the atmosphere in trace quantities in the form of carbon dioxide (CO\n2). The Earth's crustal rock is composed in large part of oxides of silicon (silica SiO\n2, as found in granite and quartz), aluminium (aluminium oxide Al\n2O\n3, in bauxite and corundum), iron (iron(III) oxide Fe\n2O\n3, in hematite and rust), and calcium carbonate (in limestone). The rest of the Earth's crust is also made of oxygen compounds, in particular various complex silicates (in silicate minerals). The Earth's mantle, of much larger mass than the crust, is largely composed of silicates of magnesium and iron.",In what compound is oxygen found in small amounts in the atmosphere ?,carbon dioxide,In what compound is oxygen found in pocket-size amounts in the atmosphere ?,in the form of carbon dioxide (CO\n2).,"['carbon dioxide', 'carbon dioxide']",1,0,small,pocket-size
"Oxygen is present in the atmosphere in trace quantities in the form of carbon dioxide (CO\n2). The Earth's crustal rock is composed in large part of oxides of silicon (silica SiO\n2, as found in granite and quartz), aluminium (aluminium oxide Al\n2O\n3, in bauxite and corundum), iron (iron(III) oxide Fe\n2O\n3, in hematite and rust), and calcium carbonate (in limestone). The rest of the Earth's crust is also made of oxygen compounds, in particular various complex silicates (in silicate minerals). The Earth's mantle, of much larger mass than the crust, is largely composed of silicates of magnesium and iron.",In what compound is oxygen found in small amounts in the atmosphere ?,carbon dioxide,In what compound is oxygen found in small quantities in the atmosphere ?,in the form of carbon dioxide,"['carbon dioxide', 'carbon dioxide']",1,0,amounts,quantities
"Oxygen is present in the atmosphere in trace quantities in the form of carbon dioxide (CO\n2). The Earth's crustal rock is composed in large part of oxides of silicon (silica SiO\n2, as found in granite and quartz), aluminium (aluminium oxide Al\n2O\n3, in bauxite and corundum), iron (iron(III) oxide Fe\n2O\n3, in hematite and rust), and calcium carbonate (in limestone). The rest of the Earth's crust is also made of oxygen compounds, in particular various complex silicates (in silicate minerals). The Earth's mantle, of much larger mass than the crust, is largely composed of silicates of magnesium and iron.",In what compound is oxygen found in small amounts in the atmosphere ?,carbon dioxide,In what compound is oxygen found in small sums in the atmosphere ?,in the form of carbon dioxide (CO\n2).,"['carbon dioxide', 'carbon dioxide']",1,0,amounts,sums
"Oxygen is present in the atmosphere in trace quantities in the form of carbon dioxide (CO\n2). The Earth's crustal rock is composed in large part of oxides of silicon (silica SiO\n2, as found in granite and quartz), aluminium (aluminium oxide Al\n2O\n3, in bauxite and corundum), iron (iron(III) oxide Fe\n2O\n3, in hematite and rust), and calcium carbonate (in limestone). The rest of the Earth's crust is also made of oxygen compounds, in particular various complex silicates (in silicate minerals). The Earth's mantle, of much larger mass than the crust, is largely composed of silicates of magnesium and iron.",In what compound is oxygen found in small amounts in the atmosphere ?,carbon dioxide,In what compound is oxygen found in small amounts in the ambiance ?,in the form of carbon dioxide (CO\n2).,"['carbon dioxide', 'carbon dioxide']",1,0,atmosphere,ambiance
"Oxygen is present in the atmosphere in trace quantities in the form of carbon dioxide (CO\n2). The Earth's crustal rock is composed in large part of oxides of silicon (silica SiO\n2, as found in granite and quartz), aluminium (aluminium oxide Al\n2O\n3, in bauxite and corundum), iron (iron(III) oxide Fe\n2O\n3, in hematite and rust), and calcium carbonate (in limestone). The rest of the Earth's crust is also made of oxygen compounds, in particular various complex silicates (in silicate minerals). The Earth's mantle, of much larger mass than the crust, is largely composed of silicates of magnesium and iron.",In what compound is oxygen found in small amounts in the atmosphere ?,carbon dioxide,In what compound is oxygen found in small amounts in the ambience ?,in the form of carbon dioxide (CO\n2).,"['carbon dioxide', 'carbon dioxide']",1,0,atmosphere,ambience
"Oxygen is present in the atmosphere in trace quantities in the form of carbon dioxide (CO\n2). The Earth's crustal rock is composed in large part of oxides of silicon (silica SiO\n2, as found in granite and quartz), aluminium (aluminium oxide Al\n2O\n3, in bauxite and corundum), iron (iron(III) oxide Fe\n2O\n3, in hematite and rust), and calcium carbonate (in limestone). The rest of the Earth's crust is also made of oxygen compounds, in particular various complex silicates (in silicate minerals). The Earth's mantle, of much larger mass than the crust, is largely composed of silicates of magnesium and iron.",What geologic feature is composed of oxygen oxides ?,Earth's crustal rock,What geological feature is composed of oxygen oxides ?,The Earth's crustal rock,"[""Earth's crustal rock"", 'crustal rock', ""Earth's crust"", ""The Earth's crust"", 'crustal rock']",1,0,geologic,geological
"John Dalton's original atomic hypothesis assumed that all elements were monatomic and that the atoms in compounds would normally have the simplest atomic ratios with respect to one another. For example, Dalton assumed that water's formula was HO, giving the atomic mass of oxygen as 8 times that of hydrogen, instead of the modern value of about 16. In 1805, Joseph Louis Gay-Lussac and Alexander von Humboldt showed that water is formed of two volumes of hydrogen and one volume of oxygen; and by 1811 Amedeo Avogadro had arrived at the correct interpretation of water's composition, based on what is now called Avogadro's law and the assumption of diatomic elemental molecules.[a]",What did Dalton think the atomic ratios were between atoms in compounds ?,simplest,What did Dalton think the nuclear ratios were between atoms in compounds ?,,"['simplest', 'simplest', 'simplest', 'simplest', 'the simplest']",1,0,atomic,nuclear
"John Dalton's original atomic hypothesis assumed that all elements were monatomic and that the atoms in compounds would normally have the simplest atomic ratios with respect to one another. For example, Dalton assumed that water's formula was HO, giving the atomic mass of oxygen as 8 times that of hydrogen, instead of the modern value of about 16. In 1805, Joseph Louis Gay-Lussac and Alexander von Humboldt showed that water is formed of two volumes of hydrogen and one volume of oxygen; and by 1811 Amedeo Avogadro had arrived at the correct interpretation of water's composition, based on what is now called Avogadro's law and the assumption of diatomic elemental molecules.[a]",What element did Gay-Lussac and von Humboldt discover was present in twice the amount of oxygen in water ?,hydrogen,What element did Gay-Lussac and von Humboldt discover was present in twice the amount of oxygen in H2O ?,oxygen,"['hydrogen', 'hydrogen', 'hydrogen', 'hydrogen', 'hydrogen']",1,0,water,H2O
"John Dalton's original atomic hypothesis assumed that all elements were monatomic and that the atoms in compounds would normally have the simplest atomic ratios with respect to one another. For example, Dalton assumed that water's formula was HO, giving the atomic mass of oxygen as 8 times that of hydrogen, instead of the modern value of about 16. In 1805, Joseph Louis Gay-Lussac and Alexander von Humboldt showed that water is formed of two volumes of hydrogen and one volume of oxygen; and by 1811 Amedeo Avogadro had arrived at the correct interpretation of water's composition, based on what is now called Avogadro's law and the assumption of diatomic elemental molecules.[a]",What theory was arrived at in 1811 that presented the assumption of diatomic molecules ?,Avogadro's law,What theory was arrived at in 1811 that presented the assumption of diatomic atoms ?,Avogadro's law and the assumption of diatomic elemental molecules.[a],"[""Avogadro's law"", ""Avogadro's law"", ""Avogadro's law"", ""the correct interpretation of water's composition"", ""Avogadro's law""]",1,0,molecules,atoms
"John Dalton's original atomic hypothesis assumed that all elements were monatomic and that the atoms in compounds would normally have the simplest atomic ratios with respect to one another. For example, Dalton assumed that water's formula was HO, giving the atomic mass of oxygen as 8 times that of hydrogen, instead of the modern value of about 16. In 1805, Joseph Louis Gay-Lussac and Alexander von Humboldt showed that water is formed of two volumes of hydrogen and one volume of oxygen; and by 1811 Amedeo Avogadro had arrived at the correct interpretation of water's composition, based on what is now called Avogadro's law and the assumption of diatomic elemental molecules.[a]",What theory was arrived at in 1811 that presented the assumption of diatomic molecules ?,Avogadro's law,What theory was arrived at in 1811 that presented the assumption of diatomic particles ?,,"[""Avogadro's law"", ""Avogadro's law"", ""Avogadro's law"", ""the correct interpretation of water's composition"", ""Avogadro's law""]",1,0,molecules,particles
"Highly combustible materials that leave little residue, such as wood or coal, were thought to be made mostly of phlogiston; whereas non-combustible substances that corrode, such as iron, contained very little. Air did not play a role in phlogiston theory, nor were any initial quantitative experiments conducted to test the idea; instead, it was based on observations of what happens when something burns, that most common objects appear to become lighter and seem to lose something in the process. The fact that a substance like wood gains overall weight in burning was hidden by the buoyancy of the gaseous combustion products. Indeed, one of the first clues that the phlogiston theory was incorrect was that metals, too, gain weight in rusting (when they were supposedly losing phlogiston).",Of what were materials that left little residue thought to contain ?,phlogiston,Of what were materials that left small residue thought to contain ?,"wood or coal, were thought to be made mostly of phlogiston;","['phlogiston', 'phlogiston', 'phlogiston', 'phlogiston', 'phlogiston']",1,0,little,small
"Highly combustible materials that leave little residue, such as wood or coal, were thought to be made mostly of phlogiston; whereas non-combustible substances that corrode, such as iron, contained very little. Air did not play a role in phlogiston theory, nor were any initial quantitative experiments conducted to test the idea; instead, it was based on observations of what happens when something burns, that most common objects appear to become lighter and seem to lose something in the process. The fact that a substance like wood gains overall weight in burning was hidden by the buoyancy of the gaseous combustion products. Indeed, one of the first clues that the phlogiston theory was incorrect was that metals, too, gain weight in rusting (when they were supposedly losing phlogiston).",Of what were materials that left little residue thought to contain ?,phlogiston,Of what were materials that left short residue thought to contain ?,"wood or coal, were thought to be made mostly of phlogiston;","['phlogiston', 'phlogiston', 'phlogiston', 'phlogiston', 'phlogiston']",1,0,little,short
"Highly combustible materials that leave little residue, such as wood or coal, were thought to be made mostly of phlogiston; whereas non-combustible substances that corrode, such as iron, contained very little. Air did not play a role in phlogiston theory, nor were any initial quantitative experiments conducted to test the idea; instead, it was based on observations of what happens when something burns, that most common objects appear to become lighter and seem to lose something in the process. The fact that a substance like wood gains overall weight in burning was hidden by the buoyancy of the gaseous combustion products. Indeed, one of the first clues that the phlogiston theory was incorrect was that metals, too, gain weight in rusting (when they were supposedly losing phlogiston).",Of what were materials that left little residue thought to contain ?,phlogiston,Of what were materials that left slight residue thought to contain ?,"wood or coal, were thought to be made mostly of phlogiston;","['phlogiston', 'phlogiston', 'phlogiston', 'phlogiston', 'phlogiston']",1,0,little,slight
"In this dioxygen, the two oxygen atoms are chemically bonded to each other. The bond can be variously described based on level of theory, but is reasonably and simply described as a covalent double bond that results from the filling of molecular orbitals formed from the atomic orbitals of the individual oxygen atoms, the filling of which results in a bond order of two. More specifically, the double bond is the result of sequential, low-to-high energy, or Aufbau, filling of orbitals, and the resulting cancellation of contributions from the 2s electrons, after sequential filling of the low σ and σ* orbitals; σ overlap of the two atomic 2p orbitals that lie along the O-O molecular axis and π overlap of two pairs of atomic 2p orbitals perpendicular to the O-O molecular axis, and then cancellation of contributions from the remaining two of the six 2p electrons after their partial filling of the lowest π and π* orbitals.",What is the bond order of dioxygen molecules ?,two,What is the bond order of dioxygen atoms ?,a bond order of two,"['two', 'two', 'two', 'two', 'two']",1,0,molecules,atoms
"In this dioxygen, the two oxygen atoms are chemically bonded to each other. The bond can be variously described based on level of theory, but is reasonably and simply described as a covalent double bond that results from the filling of molecular orbitals formed from the atomic orbitals of the individual oxygen atoms, the filling of which results in a bond order of two. More specifically, the double bond is the result of sequential, low-to-high energy, or Aufbau, filling of orbitals, and the resulting cancellation of contributions from the 2s electrons, after sequential filling of the low σ and σ* orbitals; σ overlap of the two atomic 2p orbitals that lie along the O-O molecular axis and π overlap of two pairs of atomic 2p orbitals perpendicular to the O-O molecular axis, and then cancellation of contributions from the remaining two of the six 2p electrons after their partial filling of the lowest π and π* orbitals.",What is the bond order of dioxygen molecules ?,two,What is the bond order of dioxygen particles ?,,"['two', 'two', 'two', 'two', 'two']",1,0,molecules,particles
"In this dioxygen, the two oxygen atoms are chemically bonded to each other. The bond can be variously described based on level of theory, but is reasonably and simply described as a covalent double bond that results from the filling of molecular orbitals formed from the atomic orbitals of the individual oxygen atoms, the filling of which results in a bond order of two. More specifically, the double bond is the result of sequential, low-to-high energy, or Aufbau, filling of orbitals, and the resulting cancellation of contributions from the 2s electrons, after sequential filling of the low σ and σ* orbitals; σ overlap of the two atomic 2p orbitals that lie along the O-O molecular axis and π overlap of two pairs of atomic 2p orbitals perpendicular to the O-O molecular axis, and then cancellation of contributions from the remaining two of the six 2p electrons after their partial filling of the lowest π and π* orbitals.",Of what does the covalent double bond result from ?,the filling of molecular orbitals formed from the atomic orbitals of the individual oxygen atoms,Of what does the covalent two-fold bond result from ?,filling of molecular orbitals formed from the atomic orbitals of the individual oxygen atoms,"['molecular orbitals', 'filling of molecular orbitals', 'the filling of molecular orbitals formed from the atomic orbitals of the individual oxygen atoms', 'the filling of molecular orbitals formed from the atomic orbitals of the individual oxygen atoms', 'the filling of molecular orbitals formed from the atomic orbitals of the individual oxygen atoms']",1,0,double,two-fold
"In this dioxygen, the two oxygen atoms are chemically bonded to each other. The bond can be variously described based on level of theory, but is reasonably and simply described as a covalent double bond that results from the filling of molecular orbitals formed from the atomic orbitals of the individual oxygen atoms, the filling of which results in a bond order of two. More specifically, the double bond is the result of sequential, low-to-high energy, or Aufbau, filling of orbitals, and the resulting cancellation of contributions from the 2s electrons, after sequential filling of the low σ and σ* orbitals; σ overlap of the two atomic 2p orbitals that lie along the O-O molecular axis and π overlap of two pairs of atomic 2p orbitals perpendicular to the O-O molecular axis, and then cancellation of contributions from the remaining two of the six 2p electrons after their partial filling of the lowest π and π* orbitals.",Of what does the covalent double bond result from ?,the filling of molecular orbitals formed from the atomic orbitals of the individual oxygen atoms,Of what does the covalent three-fold bond result from ?,,"['molecular orbitals', 'filling of molecular orbitals', 'the filling of molecular orbitals formed from the atomic orbitals of the individual oxygen atoms', 'the filling of molecular orbitals formed from the atomic orbitals of the individual oxygen atoms', 'the filling of molecular orbitals formed from the atomic orbitals of the individual oxygen atoms']",1,0,double,three-fold
"The common allotrope of elemental oxygen on Earth is called dioxygen, O\n2. It is the form that is a major part of the Earth's atmosphere (see Occurrence). O2 has a bond length of 121 pm and a bond energy of 498 kJ·mol−1, which is smaller than the energy of other double bonds or pairs of single bonds in the biosphere and responsible for the exothermic reaction of O2 with any organic molecule. Due to its energy content, O2 is used by complex forms of life, such as animals, in cellular respiration (see Biological role). Other aspects of O\n2 are covered in the remainder of this article.",What characteristic of oxygen makes it necessary to life ?,its energy content,What characteristic of oxygen makes it necessary to life-time ?,"its energy content, O2 is used by complex forms of life, such as animals, in cellular respiration","['energy content', 'its energy content', 'energy content', 'energy content', 'its energy content']",1,0,life,life-time
"The common allotrope of elemental oxygen on Earth is called dioxygen, O\n2. It is the form that is a major part of the Earth's atmosphere (see Occurrence). O2 has a bond length of 121 pm and a bond energy of 498 kJ·mol−1, which is smaller than the energy of other double bonds or pairs of single bonds in the biosphere and responsible for the exothermic reaction of O2 with any organic molecule. Due to its energy content, O2 is used by complex forms of life, such as animals, in cellular respiration (see Biological role). Other aspects of O\n2 are covered in the remainder of this article.",What characteristic of oxygen makes it necessary to life ?,its energy content,What characteristic of oxygen makes it necessary to living ?,"its energy content, O2 is used by complex forms of life, such as animals, in cellular respiration","['energy content', 'its energy content', 'energy content', 'energy content', 'its energy content']",1,0,life,living
"The common allotrope of elemental oxygen on Earth is called dioxygen, O\n2. It is the form that is a major part of the Earth's atmosphere (see Occurrence). O2 has a bond length of 121 pm and a bond energy of 498 kJ·mol−1, which is smaller than the energy of other double bonds or pairs of single bonds in the biosphere and responsible for the exothermic reaction of O2 with any organic molecule. Due to its energy content, O2 is used by complex forms of life, such as animals, in cellular respiration (see Biological role). Other aspects of O\n2 are covered in the remainder of this article.",What characteristic of oxygen makes it necessary to life ?,its energy content,What characteristic of oxygen makes it necessary to lifetime ?,,"['energy content', 'its energy content', 'energy content', 'energy content', 'its energy content']",1,0,life,lifetime
"The common allotrope of elemental oxygen on Earth is called dioxygen, O\n2. It is the form that is a major part of the Earth's atmosphere (see Occurrence). O2 has a bond length of 121 pm and a bond energy of 498 kJ·mol−1, which is smaller than the energy of other double bonds or pairs of single bonds in the biosphere and responsible for the exothermic reaction of O2 with any organic molecule. Due to its energy content, O2 is used by complex forms of life, such as animals, in cellular respiration (see Biological role). Other aspects of O\n2 are covered in the remainder of this article.",What characteristic of oxygen makes it necessary to life ?,its energy content,What characteristic of oxygen makes it necessary to spirit ?,,"['energy content', 'its energy content', 'energy content', 'energy content', 'its energy content']",1,0,life,spirit
"The common allotrope of elemental oxygen on Earth is called dioxygen, O\n2. It is the form that is a major part of the Earth's atmosphere (see Occurrence). O2 has a bond length of 121 pm and a bond energy of 498 kJ·mol−1, which is smaller than the energy of other double bonds or pairs of single bonds in the biosphere and responsible for the exothermic reaction of O2 with any organic molecule. Due to its energy content, O2 is used by complex forms of life, such as animals, in cellular respiration (see Biological role). Other aspects of O\n2 are covered in the remainder of this article.",For what purpose is oxygen used by animal life ?,cellular respiration,For what purpose is oxygen used by animal spirit ?,,"['cellular respiration', 'cellular respiration', 'cellular respiration', 'in cellular respiration', 'cellular respiration']",1,0,life,spirit
"Oxygen is more soluble in water than nitrogen is. Water in equilibrium with air contains approximately 1 molecule of dissolved O\n2 for every 2 molecules of N\n2, compared to an atmospheric ratio of approximately 1:4. The solubility of oxygen in water is temperature-dependent, and about twice as much (14.6 mg·L−1) dissolves at 0 °C than at 20 °C (7.6 mg·L−1). At 25 °C and 1 standard atmosphere (101.3 kPa) of air, freshwater contains about 6.04 milliliters (mL) of oxygen per liter, whereas seawater contains about 4.95 mL per liter. At 5 °C the solubility increases to 9.0 mL (50% more than at 25 °C) per liter for water and 7.2 mL (45% more) per liter for sea water.",How much oxygen is found is a liter of fresh water under normal conditions ?,6.04 milliliters,How much oxygen is found is a liter of fresh water under normal circumstances ?,"6.04 milliliters (mL) of oxygen per liter,","['6.04 milliliters', '6.04 milliliters', '6.04 milliliters', '6.04 milliliters', '6.04 milliliters']",1,0,conditions,circumstances
