context,origin,origin_ans,new,new_ans,answers,origin_result,result,coordination,causality,hypothesis,ref
"During the mid-Eocene, it is believed that the drainage basin of the Amazon was split along the middle of the continent by the Purus Arch. Water on the eastern side flowed toward the Atlantic, while to the west water flowed toward the Pacific across the Amazonas Basin. As the Andes Mountains rose, however, a large basin was created that enclosed a lake; now known as the Solimões Basin. Within the last 5–10 million years, this accumulating water broke through the Purus Arch, joining the easterly flow toward the Atlantic.",Where did water on the eastern side of the amazon basin travel after the split ?,Water on the eastern side of the Amazon Basin flowed toward the Atlantic.,Where did water on the eastern side of the amazon watershed travel ?,Water on the eastern side of the Amazon watershed flowed toward the Atlantic.,"['the Atlantic', 'the Atlantic', 'Atlantic']",1,0,0,0,0,
"Orange County is a rapidly developing business center that includes Downtown Santa Ana, the South Coast Metro and Newport Center districts; as well as the Irvine business centers of The Irvine Spectrum, West Irvine, and international corporations headquartered at the University of California, Irvine. West Irvine includes the Irvine Tech Center and Jamboree Business Parks.",What other business district does Orange County envelop outside of Downtown Santa Ana and Newport Center ?,Orange County envelops the South Coast Metro district as well.,What other business district does Orange County envelop outside of Downtown Santa Ana and Newport Center ?,"Orange County also envelops the Irvine business centers of The Irvine Spectrum, West Irvine, and international corporations headquartered at the University of California, Irvine.","['South Coast Metro', 'the South Coast Metro', 'South Coast Metro']",1,0,1,0,0,
"Homes from the early 20th century line this boulevard in the heart of the historic Alta Vista Tract. The section of Huntington Boulevard between First Street on the west to Cedar Avenue on the east is the home to many large, stately homes. The original development of this area began circa 1910, on 190 acres of what had been an alfalfa field. The Alta Vista Tract, as the land would become known, was mapped by William Stranahan for the Pacific Improvement Corporation, and was officially platted in 1911. The tract's boundaries were Balch Avenue on the south, Cedar Avenue on the east, the rear property line of Platt Avenue (east of Sixth Street) and Platt Avenue (west of Sixth Street) on the north, and First Street on the west. The subdivision was annexed to the City in January 1912, in an election that was the first in which women voted in the community. At the time of its admission to the City, the Alta Vista Tract was uninhabited but landscaped, although the trees had to be watered by tank wagon. In 1914 developers Billings & Meyering acquired the tract, completed street development, provided the last of the necessary municipal improvements including water service, and began marketing the property with fervor. A mere half decade later the tract had 267 homes. This rapid development was no doubt hastened by the Fresno Traction Company right-of-way along Huntington Boulevard, which provided streetcar connections between downtown and the County Hospital.",Which company provided streetcar connections between downtown and the hospital ?,The Fresno Traction Company.,Which company provided streetcar connections between downtown and the infirmary ?,No answer.,"['Fresno Traction Company', 'Fresno Traction Company', 'Fresno Traction Company']",1,0,1,0,0,
"Passenger rail service is provided by Amtrak San Joaquins. The main passenger rail station is the recently renovated historic Santa Fe Railroad Depot in Downtown Fresno. The Bakersfield-Stockton mainlines of the Burlington Northern Santa Fe Railway and Union Pacific Railroad railroads cross in Fresno, and both railroads maintain railyards within the city; the San Joaquin Valley Railroad also operates former Southern Pacific branchlines heading west and south out of the city. The city of Fresno is planned to serve the future California High Speed Rail.","If you were to take a train west or south out of the city of Fresno , which railroad would you take ?","If you were to take a train west or south out of the city of Fresno, you would take the San Joaquin Valley Railroad.","If you were to hold a train west or south out of the city of Fresno , which railroad would you take ?","I'm sorry, but I don't have an answer to that question based on the provided text.","['San Joaquin Valley Railroad', 'San Joaquin Valley Railroad', 'San Joaquin Valley Railroad']",1,0,1,0,0,
"""Economist Joseph Stiglitz presented evidence in 2009 that both global inequality and inequality within countries prevent growth by limiting aggregate demand. Economist Branko Milanovic, wrote in 2001 that, """"The view that income inequality harms growth – or that improved equality can help sustain growth – has become more widely held in recent years. ... The main reason for this shift is the increasing importance of human capital in development. When physical capital mattered most, savings and investments were key. Then it was important to have a large contingent of rich people who could save a greater proportion of their income than the poor and invest it in physical capital. But now that human capital is scarcer than machines, widespread education has become the secret to growth.""""""",What has been the main reason for the shift to the view that income inequality harms growth ?,The main reason for the shift is the increasing importance of human capital in development.,What has been the main reason for the shift to the view that income inequality harms emergence ?,No Answer.,"['increasing importance of human capital in development', 'increasing importance of human capital in development', 'increasing importance of human capital']",1,0,0,0,1,
"""In contrast to product requirements or other laws that hinder market access, the Court of Justice developed a presumption that """"selling arrangements"""" would be presumed to not fall into TFEU article 34, if they applied equally to all sellers, and affected them in the same manner in fact. In Keck and Mithouard two importers claimed that their prosecution under a French competition law, which prevented them selling Picon beer under wholesale price, was unlawful. The aim of the law was to prevent cut throat competition, not to hinder trade. The Court of Justice held, as """"in law and in fact"""" it was an equally applicable """"selling arrangement"""" (not something that alters a product's content) it was outside the scope of article 34, and so did not need to be justified. Selling arrangements can be held to have an unequal effect """"in fact"""" particularly where traders from another member state are seeking to break into the market, but there are restrictions on advertising and marketing. In Konsumentombudsmannen v De Agostini the Court of Justice reviewed Swedish bans on advertising to children under age 12, and misleading commercials for skin care products. While the bans have remained (justifiable under article 36 or as a mandatory requirement) the Court emphasised that complete marketing bans could be disproportionate if advertising were """"the only effective form of promotion enabling [a trader] to penetrate"""" the market. In Konsumentombudsmannen v Gourmet AB the Court suggested that a total ban for advertising alcohol on the radio, TV and in magazines could fall within article 34 where advertising was the only way for sellers to overcome consumers' """"traditional social practices and to local habits and customs"""" to buy their products, but again the national courts would decide whether it was justified under article 36 to protect public health. Under the Unfair Commercial Practices Directive, the EU harmonised restrictions on restrictions on marketing and advertising, to forbid conduct that distorts average consumer behaviour, is misleading or aggressive, and sets out a list of examples that count as unfair. Increasingly, states have to give mutual recognition to each other's standards of regulation, while the EU has attempted to harmonise minimum ideals of best practice. The attempt to raise standards is hoped to avoid a regulatory """"race to the bottom"""", while allowing consumers access to goods from around the continent.""",In which case did the Court of Justice review Swedish bans on advertising to young children under 12 ?,The Court of Justice reviewed Swedish bans on advertising to children under age 12 in the case of Konsumentombudsmannen v De Agostini.,In which instance did the Court of Justice review Swedish bans on advert to young kids ?,The Court of Justice reviewed Swedish bans on advertising to children under age 12 in the case of Konsumentombudsmannen v De Agostini.,"['Konsumentombudsmannen v De Agostini', 'Konsumentombudsmannen v De Agostini', 'Konsumentombudsmannen v De Agostini']",1,0,0,0,0,
"For a long time, number theory in general, and the study of prime numbers in particular, was seen as the canonical example of pure mathematics, with no applications outside of the self-interest of studying the topic with the exception of use of prime numbered gear teeth to distribute wear evenly. In particular, number theorists such as British mathematician G. H. Hardy prided themselves on doing work that had absolutely no military significance. However, this vision was shattered in the 1970s, when it was publicly announced that prime numbers could be used as the basis for the creation of public key cryptography algorithms. Prime numbers are also used for hash tables and pseudorandom number generators.","Besides public key cryptography , what is another application for prime numbers ?",Another application for prime numbers is their use in hash tables and pseudorandom number generators.,"Besides public key steganography , what is another application for prime figures ?",There is no mention of another application for prime numbers in the given text.,"['hash tables', 'hash tables', 'hash tables and pseudorandom number generators', 'hash tables and pseudorandom number generators']",1,0,0,0,0,
"When a person’s capabilities are lowered, they are in some way deprived of earning as much income as they would otherwise. An old, ill man cannot earn as much as a healthy young man; gender roles and customs may prevent a woman from receiving an education or working outside the home. There may be an epidemic that causes widespread panic, or there could be rampant violence in the area that prevents people from going to work for fear of their lives. As a result, income and economic inequality increases, and it becomes more difficult to reduce the gap without additional aid. To prevent such inequality, this approach believes it’s important to have political freedom, economic facilities, social opportunities, transparency guarantees, and protective security to ensure that people aren’t denied their functionings, capabilities, and agency and can thus work towards a better relevant income.","What happens when a person 's capabilities aer lowered , as it relates to their income ?","When a person's capabilities are lowered, they are deprived of earning as much income as they would otherwise.","What happens when a somebody's capabilities aer lowered , as it pertain to their income ?","When somebody's capabilities are lowered, such as due to illness, age, or societal barriers, their ability to earn income is reduced.","['deprived of earning as much', 'deprived of earning as much income', 'deprived of earning as much income as they would otherwise']",1,0,0,0,1,
"""According to Sheldon Ungar's comparison with global warming, the actors in the ozone depletion case had a better understanding of scientific ignorance and uncertainties. The ozone case communicated to lay persons """"with easy-to-understand bridging metaphors derived from the popular culture"""" and related to """"immediate risks with everyday relevance"""", while the public opinion on climate change sees no imminent danger. The stepwise mitigation of the ozone layer challenge was based as well on successfully reducing regional burden sharing conflicts. In case of the IPCC conclusions and the failure of the Kyoto Protocol, varying regional cost-benefit analysis and burden-sharing conflicts with regard to the distribution of emission reductions remain an unsolved problem. In the UK, a report for a House of Lords committee asked to urge the IPCC to involve better assessments of costs and benefits of climate change but the Stern Review ordered by the UK government made a stronger argument in favor to combat human-made climate change.""",Who said people involved in the ozone situation had `` a better understanding of scientific ignorance and uncertainties '' ?,Sheldon Ungar.,"""Who said people involved in the ozone place had """" a understanding of ignorance and uncertainties ?""",Sheldon Ungar said that people involved in the ozone depletion case had a better understanding of scientific ignorance and uncertainties.,"['Sheldon Ungar', 'Sheldon Ungar', 'Sheldon Ungar']",1,0,1,0,0,
"""Dynamic equilibrium was first described by Galileo who noticed that certain assumptions of Aristotelian physics were contradicted by observations and logic. Galileo realized that simple velocity addition demands that the concept of an """"absolute rest frame"""" did not exist. Galileo concluded that motion in a constant velocity was completely equivalent to rest. This was contrary to Aristotle's notion of a """"natural state"""" of rest that objects with mass naturally approached. Simple experiments showed that Galileo's understanding of the equivalence of constant velocity and rest were correct. For example, if a mariner dropped a cannonball from the crow's nest of a ship moving at a constant velocity, Aristotelian physics would have the cannonball fall straight down while the ship moved beneath it. Thus, in an Aristotelian universe, the falling cannonball would land behind the foot of the mast of a moving ship. However, when this experiment is actually conducted, the cannonball always falls at the foot of the mast, as if the cannonball knows to travel with the ship despite being separated from it. Since there is no forward horizontal force being applied on the cannonball as it falls, the only conclusion left is that the cannonball continues to move with the same velocity as the boat as it falls. Thus, no force is required to keep the cannonball moving at the constant forward velocity.""",What does motion at a constant velocity equal ?,Motion at a constant velocity equals rest.,What does motion at a ceaseless velocity equal ?,No answer.,"['rest', 'rest', 'rest', 'rest', 'rest']",1,0,0,0,0,
"The energy crisis led to greater interest in renewable energy, nuclear power and domestic fossil fuels. There is criticism that American energy policies since the crisis have been dominated by crisis-mentality thinking, promoting expensive quick fixes and single-shot solutions that ignore market and technology realities. Instead of providing stable rules that support basic research while leaving plenty of scope for entrepreneurship and innovation, congresses and presidents have repeatedly backed policies which promise solutions that are politically expedient, but whose prospects are doubtful.",There is criticism that the energy policies are expensive quick fixes that ignore which facts ?,The policies ignore market and technology realities.,There is criticism that the energy insurance are expensive quick fixes that neglect which facts ?,There is no mention in the text of neglecting any specific facts.,"['market and technology realities', 'market and technology realities', 'market and technology realities', 'market and technology realities', 'market and technology realities']",1,0,0,0,0,
"A job where there are many workers willing to work a large amount of time (high supply) competing for a job that few require (low demand) will result in a low wage for that job. This is because competition between workers drives down the wage. An example of this would be jobs such as dish-washing or customer service. Competition amongst workers tends to drive down wages due to the expendable nature of the worker in relation to his or her particular job. A job where there are few able or willing workers (low supply), but a large need for the positions (high demand), will result in high wages for that job. This is because competition between employers for employees will drive up the wage. Examples of this would include jobs that require highly developed skills, rare abilities, or a high level of risk. Competition amongst employers tends to drive up wages due to the nature of the job, since there is a relative shortage of workers for the particular position. Professional and labor organizations may limit the supply of workers which results in higher demand and greater incomes for members. Members may also receive higher wages through collective bargaining, political influence, or corruption.",What does many workers willing to work for a lot of time competing for a job that only requires a few workers result in ?,It results in a low wage for that job.,What does many workers willing to work for a lot of time competing for a business that only involve a few workers result in ?,No answer.,"['low wage', 'competition', 'low wage']",1,0,0,0,0,
"French Huguenot explorer Jean Ribault charted the St. Johns River in 1562 calling it the River of May because he discovered it in May. Ribault erected a stone column near present-day Jacksonville claiming the newly discovered land for France. In 1564, René Goulaine de Laudonnière established the first European settlement, Fort Caroline, on the St. Johns near the main village of the Saturiwa. Philip II of Spain ordered Pedro Menéndez de Avilés to protect the interest of Spain by attacking the French presence at Fort Caroline. On September 20, 1565, a Spanish force from the nearby Spanish settlement of St. Augustine attacked Fort Caroline, and killed nearly all the French soldiers defending it. The Spanish renamed the fort San Mateo, and following the ejection of the French, St. Augustine's position as the most important settlement in Florida was solidified. The location of Fort Caroline is subject to debate but a reconstruction of the fort was established on the St. Johns River in 1964.",For what nation did Ribault initially claim what is now Jacksonville ?,France.,For what country did Ribault initially claim what is Jacksonville ?,Ribault initially claimed what is now Jacksonville for France.,"['France', 'France', 'France']",1,0,0,0,0,
"Many locals and tourists frequent the southern California coast for its popular beaches, and the desert city of Palm Springs is popular for its resort feel and nearby open spaces.","Other than for its resort feel , what is Palm Springs popular for ?",Palm Springs is popular for its nearby open spaces.,"Other than for its resort sense , what is Palm Springs popular for ?",No Answer.,"['open spaces', 'nearby open spaces', 'nearby open spaces']",1,0,0,0,0,
"Notable alumni in the field of government and politics include the founder of modern community organizing Saul Alinsky, Obama campaign advisor and top political advisor to President Bill Clinton David Axelrod, Attorney General and federal judge Robert Bork, Attorney General Ramsey Clark, Prohibition agent Eliot Ness, Supreme Court Justice John Paul Stevens, Prime Minister of Canada William Lyon Mackenzie King, 11th Prime Minister of Poland Marek Belka, Governor of the Bank of Japan Masaaki Shirakawa, the first female African-American Senator Carol Moseley Braun, United States Senator from Vermont and 2016 Democratic Presidential Candidate Bernie Sanders, and former World Bank President Paul Wolfowitz.",What prohibition agent was also an alumni at the university ?,Eliot Ness.,What prohibition agent was likewise an alumni at the university ?,No answer.,"['Eliot Ness', 'Eliot Ness', 'Eliot Ness']",1,0,0,0,0,
"""According to Sheldon Ungar's comparison with global warming, the actors in the ozone depletion case had a better understanding of scientific ignorance and uncertainties. The ozone case communicated to lay persons """"with easy-to-understand bridging metaphors derived from the popular culture"""" and related to """"immediate risks with everyday relevance"""", while the public opinion on climate change sees no imminent danger. The stepwise mitigation of the ozone layer challenge was based as well on successfully reducing regional burden sharing conflicts. In case of the IPCC conclusions and the failure of the Kyoto Protocol, varying regional cost-benefit analysis and burden-sharing conflicts with regard to the distribution of emission reductions remain an unsolved problem. In the UK, a report for a House of Lords committee asked to urge the IPCC to involve better assessments of costs and benefits of climate change but the Stern Review ordered by the UK government made a stronger argument in favor to combat human-made climate change.""",Who said people involved in the ozone situation had `` a better understanding of scientific ignorance and uncertainties '' ?,Sheldon Ungar.,"""Who said people involved in the ozone situation had """" a considerably understanding of scientific ignorance and uncertainties ?""",No answer.,"['Sheldon Ungar', 'Sheldon Ungar', 'Sheldon Ungar']",1,0,1,0,1,
"2013 Economics Nobel prize winner Robert J. Shiller said that rising inequality in the United States and elsewhere is the most important problem. Increasing inequality harms economic growth. High and persistent unemployment, in which inequality increases, has a negative effect on subsequent long-run economic growth. Unemployment can harm growth not only because it is a waste of resources, but also because it generates redistributive pressures and subsequent distortions, drives people to poverty, constrains liquidity limiting labor mobility, and erodes self-esteem promoting social dislocation, unrest and conflict. Policies aiming at controlling unemployment and in particular at reducing its inequality-associated effects support economic growth.",Persistent unemployment has what effect on long-term economic growth ?,Persistent unemployment has a negative effect on long-term economic growth.,Persistent unemployment has what effect on long-term economic emergence ?,There is no specific information in the text regarding the effect of persistent unemployment on long-term economic emergence.,"['negative', 'negative effect', 'negative']",1,0,0,0,0,
"Under the terms of the Scotland Act 1978, an elected assembly would be set up in Edinburgh provided that the majority of the Scottish electorate voted for it in a referendum to be held on 1 March 1979 that represented at least 40% of the total electorate. The 1979 Scottish devolution referendum to establish a devolved Scottish Assembly failed. Although the vote was 51.6% in favour of a Scottish Assembly, this figure did not equal the 40% of the total electorate threshold deemed necessary to pass the measure, as 32.9% of the eligible voting population did not, or had been unable to, vote.",How did trying to establish a devolved Scottish Assembly go in 1979 ?,The attempt to establish a devolved Scottish Assembly in 1979 failed because it did not meet the requirement of at least 40% of the total electorate voting in favor of it.,How did trying to establish a devolved Scottish Assembly start in 1979 ?,"In 1979, the attempt to establish a devolved Scottish Assembly started with the terms of the Scotland Act 1978, which stated that an elected assembly would be set up in Edinburgh if the majority of the Scottish electorate voted for it in a referendum.","['failed', 'failed', 'failed']",1,0,0,0,0,
"There are fifteen fraternities and seven sororities at the University of Chicago, as well as one co-ed community service fraternity, Alpha Phi Omega. Four of the sororities are members of the National Panhellenic Conference, and ten of the fraternities form the University of Chicago Interfraternity Council. In 2002, the Associate Director of Student Activities estimated that 8–10 percent of undergraduates were members of fraternities or sororities. The student activities office has used similar figures, stating that one in ten undergraduates participate in Greek life.",How many fraternities are apart of the university ?,There are fifteen fraternities at the University of Chicago.,How many fraternities are aside of the university ?,No answer.,"['fifteen', 'fifteen', 'fifteen']",1,0,0,0,0,
"""Forces act in a particular direction and have sizes dependent upon how strong the push or pull is. Because of these characteristics, forces are classified as """"vector quantities"""". This means that forces follow a different set of mathematical rules than physical quantities that do not have direction (denoted scalar quantities). For example, when determining what happens when two forces act on the same object, it is necessary to know both the magnitude and the direction of both forces to calculate the result. If both of these pieces of information are not known for each force, the situation is ambiguous. For example, if you know that two people are pulling on the same rope with known magnitudes of force but you do not know which direction either person is pulling, it is impossible to determine what the acceleration of the rope will be. The two people could be pulling against each other as in tug of war or the two people could be pulling in the same direction. In this simple one-dimensional example, without knowing the direction of the forces it is impossible to decide whether the net force is the result of adding the two force magnitudes or subtracting one from the other. Associating forces with vectors avoids such problems.""","If you do not know both magnitude and direction of two forces on an object , what would you call that situation ?",The situation would be called ambiguous.,"If you do not know both magnitude and way of two forces , what would you call that situation ?",The situation would still be called ambiguous.,"['ambiguous', 'ambiguous', 'ambiguous', 'ambiguous', 'ambiguous']",1,0,1,0,0,
"The principle of inclusions and components states that, with sedimentary rocks, if inclusions (or clasts) are found in a formation, then the inclusions must be older than the formation that contains them. For example, in sedimentary rocks, it is common for gravel from an older formation to be ripped up and included in a newer layer. A similar situation with igneous rocks occurs when xenoliths are found. These foreign bodies are picked up as magma or lava flows, and are incorporated, later to cool in the matrix. As a result, xenoliths are older than the rock which contains them.",How old is a lava flow after it cools ?,The text does not provide specific information about the age of a lava flow after it cools.,How old is a lava flow after it cools ?,The age of a lava flow after it cools can vary greatly depending on the specific lava flow and its geological context. Lava flows can range in age from several years to millions of years.,[],1,0,0,0,0,
"There were 158,349 households, of which 68,511 (43.3%) had children under the age of 18 living in them, 69,284 (43.8%) were opposite-sex married couples living together, 30,547 (19.3%) had a female householder with no husband present, 11,698 (7.4%) had a male householder with no wife present. There were 12,843 (8.1%) unmarried opposite-sex partnerships, and 1,388 (0.9%) same-sex married couples or partnerships. 35,064 households (22.1%) were made up of individuals and 12,344 (7.8%) had someone living alone who was 65 years of age or older. The average household size was 3.07. There were 111,529 families (70.4% of all households); the average family size was 3.62.",What was the average family size ?,The average family size was 3.62.,What was the mean family size ?,The text does not provide the mean family size.,"['3.62', '3.62', '3.62']",1,0,0,0,0,
"""In many parts of the United States, after the 1954 decision in the landmark court case Brown v. Board of Education of Topeka that demanded United States schools desegregate """"with all deliberate speed"""", local families organized a wave of private """"Christian academies"""". In much of the U.S. South, many white students migrated to the academies, while public schools became in turn more heavily concentrated with African-American students (see List of private schools in Mississippi). The academic content of the academies was usually College Preparatory. Since the 1970s, many of these """"segregation academies"""" have shut down, although some continue to operate.[citation needed]""",What was the primary race of students attending Christian academies after the Brown decision ?,The primary race of students attending Christian academies after the Brown decision was white.,What was the primary race of students attending christian academies ?,The primary race of students attending Christian academies after the Brown decision was white.,"['white', 'white', 'African-American']",1,0,0,0,0,
"The crisis had a major impact on international relations and created a rift within NATO. Some European nations and Japan sought to disassociate themselves from United States foreign policy in the Middle East to avoid being targeted by the boycott. Arab oil producers linked any future policy changes to peace between the belligerents. To address this, the Nixon Administration began multilateral negotiations with the combatants. They arranged for Israel to pull back from the Sinai Peninsula and the Golan Heights. By January 18, 1974, US Secretary of State Henry Kissinger had negotiated an Israeli troop withdrawal from parts of the Sinai Peninsula. The promise of a negotiated settlement between Israel and Syria was enough to convince Arab oil producers to lift the embargo in March 1974.",On what date did Henry Kissinger negotiate an Israeli troop withdrawal from the Sinai Peninsula ?,"Henry Kissinger negotiated an Israeli troop withdrawal from parts of the Sinai Peninsula on January 18, 1974.",On what date did Henry Kissinger negotiate an troop withdrawal ?,"Henry Kissinger negotiated an Israeli troop withdrawal from parts of the Sinai Peninsula on January 18, 1974.","['January 18, 1974,', 'January 18, 1974', 'January 18, 1974', 'January 18, 1974', 'January 18, 1974']",1,0,0,0,1,
"For instance, while traveling in a moving vehicle at a constant velocity, the laws of physics do not change from being at rest. A person can throw a ball straight up in the air and catch it as it falls down without worrying about applying a force in the direction the vehicle is moving. This is true even though another person who is observing the moving vehicle pass by also observes the ball follow a curving parabolic path in the same direction as the motion of the vehicle. It is the inertia of the ball associated with its constant velocity in the direction of the vehicle's motion that ensures the ball continues to move forward even as it is thrown up and falls back down. From the perspective of the person in the car, the vehicle and everything inside of it is at rest: It is the outside world that is moving with a constant speed in the opposite direction. Since there is no experiment that can distinguish whether it is the vehicle that is at rest or the outside world that is at rest, the two situations are considered to be physically indistinguishable. Inertia therefore applies equally well to constant velocity motion as it does to rest.",What path does a ball thrown up and down in a moving vehicle take when seen by an outside observer ?,The ball follows a curving parabolic path in the same direction as the motion of the vehicle.,What path does a ball thrown up and down in a moving vehicle get when heard by an outside observer ?,No answer.,"['parabolic', 'parabolic path', 'a curving parabolic path', 'curving parabolic path', 'curving parabolic path']",1,0,1,0,1,
"Parliament typically sits Tuesdays, Wednesdays and Thursdays from early January to late June and from early September to mid December, with two-week recesses in April and October. Plenary meetings in the debating chamber usually take place on Wednesday afternoons from 2 pm to 6 pm and on Thursdays from 9:15 am to 6 pm. Chamber debates and committee meetings are open to the public. Entry is free, but booking in advance is recommended due to limited space. Meetings are broadcast on the Parliament's own channel Holyrood.tv and on the BBC's parliamentary channel BBC Parliament. Proceedings are also recorded in text form, in print and online, in the Official Report, which is the substantially verbatim transcript of parliamentary debates.",Plenary meetings in the debating chamber usually take place on Tuesday afternoons from 1pm to what ?,There is no information about the end time of plenary meetings on Tuesday afternoons in the text.,Plenary meetings usually take place on Tuesday afternoons ?,"No, according to the text, plenary meetings in the debating chamber usually take place on Wednesday afternoons from 2 pm to 6 pm and on Thursdays from 9:15 am to 6 pm.",[],1,0,0,0,0,
"""In recent years the characteristic that has strongly correlated with health in developed countries is income inequality. Creating an index of """"Health and Social Problems"""" from nine factors, authors Richard Wilkinson and Kate Pickett found health and social problems """"more common in countries with bigger income inequalities"""", and more common among states in the US with larger income inequalities. Other studies have confirmed this relationship. The UNICEF index of """"child well-being in rich countries"""", studying 40 indicators in 22 countries, correlates with greater equality but not per capita income.""",What does child well-being in rich countries correlate most to ?,Child well-being in rich countries correlates most strongly with greater equality.,What does child well-being in rich countries correlate to ?,"Child well-being in rich countries correlates to greater equality, but not necessarily to per capita income.","['greater equality', 'greater equality', 'greater equality but not per capita income']",1,0,0,0,0,
"In some rural areas in the United Kingdom, there are dispensing physicians who are allowed to both prescribe and dispense prescription-only medicines to their patients from within their practices. The law requires that the GP practice be located in a designated rural area and that there is also a specified, minimum distance (currently 1.6 kilometres) between a patient's home and the nearest retail pharmacy. This law also exists in Austria for general physicians if the nearest pharmacy is more than 4 kilometers away, or where none is registered in the city.",What is the minimum distance between a patient 's home and the nearest pharmacy that allows a physician in Austria to give out medicine ?,The minimum distance between a patient's home and the nearest pharmacy in Austria is more than 4 kilometers.,What is the minimum distance between a patient's home and the nearest pharmacy that allow a physician in Austria to make out medicine ?,The minimum distance between a patient's home and the nearest pharmacy in Austria is 4 kilometers.,"['more than 4 kilometers', '4 kilometers', 'more than 4 kilometers']",1,0,1,0,0,
"One computer model of future climate change caused by greenhouse gas emissions shows that the Amazon rainforest could become unsustainable under conditions of severely reduced rainfall and increased temperatures, leading to an almost complete loss of rainforest cover in the basin by 2100. However, simulations of Amazon basin climate change across many different models are not consistent in their estimation of any rainfall response, ranging from weak increases to strong decreases. The result indicates that the rainforest could be threatened though the 21st century by climate change in addition to deforestation.","If one computer model turns out correct , by what year would there be a nearly complete loss of rainforest in the Amazon basin ?",By the year 2100.,"If one computer model turns out correct , would there be a loss of rainforest ?","Yes, according to the computer model, there would be an almost complete loss of rainforest cover in the Amazon basin by 2100.","['2100', 'by 2100', '2100']",1,0,0,0,0,
"Notable alumni in the field of government and politics include the founder of modern community organizing Saul Alinsky, Obama campaign advisor and top political advisor to President Bill Clinton David Axelrod, Attorney General and federal judge Robert Bork, Attorney General Ramsey Clark, Prohibition agent Eliot Ness, Supreme Court Justice John Paul Stevens, Prime Minister of Canada William Lyon Mackenzie King, 11th Prime Minister of Poland Marek Belka, Governor of the Bank of Japan Masaaki Shirakawa, the first female African-American Senator Carol Moseley Braun, United States Senator from Vermont and 2016 Democratic Presidential Candidate Bernie Sanders, and former World Bank President Paul Wolfowitz.",What prohibition agent was also an alumni at the university ?,Eliot Ness.,What prohibition agent was besides an alumni at the university ?,No answer.,"['Eliot Ness', 'Eliot Ness', 'Eliot Ness']",1,0,0,0,0,
"""In cases where the criminalized behavior is pure speech, civil disobedience can consist simply of engaging in the forbidden speech. An example would be WBAI's broadcasting the track """"Filthy Words"""" from a George Carlin comedy album, which eventually led to the 1978 Supreme Court case of FCC v. Pacifica Foundation. Threatening government officials is another classic way of expressing defiance toward the government and unwillingness to stand for its policies. For example, Joseph Haas was arrested for allegedly sending an email to the Lebanon, New Hampshire city councilors stating, """"Wise up or die.""""""",What is one way to use pure speech to reach as much people as possible to protest ?,"One way to use pure speech to reach as many people as possible to protest is through broadcasting or public speaking platforms like radio, television, or public rallies.",What is one way to use pure speech to attain as much people as possible to protest ?,"One way to use pure speech to reach as many people as possible to protest is through forms of mass communication such as social media, online platforms, or public demonstrations.","['broadcasting', 'engaging in the forbidden speech', 'broadcasting', 'broadcasting']",1,0,0,0,0,
"The first European to travel the length of the Amazon River was Francisco de Orellana in 1542. The BBC's Unnatural Histories presents evidence that Orellana, rather than exaggerating his claims as previously thought, was correct in his observations that a complex civilization was flourishing along the Amazon in the 1540s. It is believed that the civilization was later devastated by the spread of diseases from Europe, such as smallpox. Since the 1970s, numerous geoglyphs have been discovered on deforested land dating between AD 0–1250, furthering claims about Pre-Columbian civilizations. Ondemar Dias is accredited with first discovering the geoglyphs in 1977 and Alceu Ranzi with furthering their discovery after flying over Acre. The BBC's Unnatural Histories presented evidence that the Amazon rainforest, rather than being a pristine wilderness, has been shaped by man for at least 11,000 years through practices such as forest gardening and terra preta.",For how many years was evidence shown that humans shaped the the Amazon ?,"At least 11,000 years.",For how many years was evidence demonstrated that humans shaped the the Amazon ?,No Answer.,"['11,000 years', 'at least 11,000 years', 'at least 11,000 years']",1,0,0,0,0,
"The 8- and 10-county definitions are not used for the greater Southern California Megaregion, one of the 11 megaregions of the United States. The megaregion's area is more expansive, extending east into Las Vegas, Nevada, and south across the Mexican border into Tijuana.",What is one of the 10 megaregions in the United States ?,No Answer.,What is one of the 10 megaregions in the United States ?,One of the 10 megaregions in the United States is the Southern California Megaregion.,[],1,0,0,0,0,
"""According to International Monetary Fund economists, inequality in wealth and income is negatively correlated with the duration of economic growth spells (not the rate of growth). High levels of inequality prevent not just economic prosperity, but also the quality of a country's institutions and high levels of education. According to IMF staff economists, """"if the income share of the top 20 percent (the rich) increases, then GDP growth actually declines over the medium term, suggesting that the benefits do not trickle down. In contrast, an increase in the income share of the bottom 20 percent (the poor) is associated with higher GDP growth. The poor and the middle class matter the most for growth via a number of interrelated economic, social, and political channels.""""""",What does an decrease in the income share of the bottom 20 percent of people of a society result in ?,No Answer,What does an decrease in the income share of the bottom 20 percentage of people of a society result in ?,An decrease in the income share of the bottom 20 percent of people in a society is associated with lower GDP growth.,[],1,0,0,0,0,
